"Year","Month","Flag","LatC5","LonC5","Hooks","ALBn","BETn","PBFn","SKJn","TUNn","YFTn","BILn","BLMn","BUMn","MLSn","SFAn","SSPn","SWOn","ALBmt","BETmt","PBFmt","SKJmt","TUNmt","YFTmt","BILmt","BLMmt","BUMmt","MLSmt","SFAmt","SSPmt","SWOmt"
1954,10,"JPN",7.50,-142.50,13485,0.00,163.00,0.00,0.00,0.00,45.00,37.00,0.00,92.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,10,"JPN",7.50,-137.50,18914,0.00,813.00,0.00,0.00,0.00,129.00,14.00,6.00,163.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",2.50,-142.50,3626,0.00,10.00,0.00,0.00,0.00,57.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",7.50,-142.50,70499,0.00,2372.00,0.00,0.00,0.00,116.00,41.00,6.00,243.00,47.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",7.50,-137.50,258455,0.00,9481.00,0.00,0.00,0.00,1782.00,171.00,39.00,1053.00,131.00,0.00,0.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",7.50,-132.50,127331,0.00,4028.00,0.00,0.00,0.00,839.00,29.00,29.00,557.00,41.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",27.50,-147.50,3371,0.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,11,"JPN",32.50,-142.50,2344,0.00,63.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,12,"JPN",7.50,-147.50,26225,0.00,645.00,0.00,0.00,0.00,76.00,6.00,2.00,116.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954,12,"JPN",7.50,-142.50,101783,0.00,3536.00,0.00,0.00,0.00,400.00,6.00,8.00,294.00,151.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
